episode,fatigue,skill_level,task_completion_time,task_complexity,task_type
0,1.0,1,7.624879935608873,medium,human-only
1,0.0,1,10.828341106957525,medium,collaborative
2,1.0,2,9.984361138278087,low,robot-only
3,0.0,1,10.78749193585488,medium,robot-only
4,1.0,1,11.35863714134089,low,collaborative
5,0.0,0,12.627793049103659,medium,human-only
6,0.0,1,5.869185533404692,medium,human-only
7,0.0,0,10.189493673979417,medium,collaborative
8,0.5,0,11.194721117387854,medium,robot-only
9,0.0,1,9.693591929147122,medium,human-only
10,1.0,1,9.4012899061877,low,human-only
11,0.5,2,11.772815878167322,medium,robot-only
12,0.0,2,14.780198318588134,medium,collaborative
13,0.5,0,8.961312661322768,low,human-only
14,0.5,1,9.031911261947378,high,collaborative
15,0.5,1,8.522344155401335,medium,collaborative
16,0.5,1,6.382882438912801,high,collaborative
17,1.0,0,9.69567934965821,low,human-only
18,1.0,2,13.978247606368296,medium,robot-only
19,0.5,0,12.559359535471003,medium,collaborative
20,1.0,2,7.253450681412416,low,human-only
21,0.0,0,10.56905051972593,medium,human-only
22,0.0,2,12.121096348890989,low,robot-only
23,1.0,1,10.439676301146344,medium,human-only
24,0.0,2,8.738008421791633,high,robot-only
25,0.5,0,7.853502369731157,medium,human-only
26,0.5,1,11.592952803933034,high,collaborative
27,0.5,1,8.20552157425381,medium,collaborative
28,0.0,0,12.435434496962934,low,human-only
29,1.0,0,8.57962842795428,medium,robot-only
30,1.0,0,10.835912060256481,medium,collaborative
31,1.0,0,11.525237254872764,medium,human-only
32,0.5,0,11.525390087817328,medium,robot-only
33,0.0,0,9.820867897269641,medium,robot-only
34,0.5,0,9.148600712712458,high,human-only
35,0.0,0,10.236588557515518,low,collaborative
36,1.0,1,11.036149794991937,high,robot-only
37,1.0,2,9.036303022272202,medium,human-only
38,0.5,0,8.924080002123294,low,human-only
39,1.0,1,12.760995260015964,high,human-only
40,0.0,1,12.582207209299261,high,human-only
41,0.0,2,15.51478363469683,high,collaborative
42,0.5,0,10.838561151539047,high,human-only
43,0.5,1,8.886832306962695,medium,collaborative
44,0.5,0,11.564602503833509,low,collaborative
45,0.5,0,10.849886040586632,medium,robot-only
46,1.0,1,6.0802197773456825,high,human-only
47,0.5,1,10.50622921111516,medium,collaborative
48,0.0,0,12.443719550540703,low,collaborative
49,0.5,1,12.740640607913988,high,robot-only
50,0.5,0,9.053701791048555,medium,collaborative
51,0.5,1,8.092336477700346,high,robot-only
52,1.0,2,10.208018350785235,medium,human-only
53,0.0,2,10.877911188256371,high,collaborative
54,1.0,2,7.360393696426742,high,human-only
55,1.0,0,11.986406715320594,low,human-only
56,1.0,0,8.635391419226872,low,collaborative
57,1.0,0,9.761957840431453,high,human-only
58,1.0,0,9.360103526910176,low,collaborative
59,0.0,0,11.650309427260872,high,collaborative
60,0.5,2,10.602402855625659,medium,human-only
61,0.5,1,8.245481775907217,medium,collaborative
62,1.0,1,9.197597527609155,high,human-only
63,0.5,2,9.703645554480202,medium,robot-only
64,0.5,1,11.265673223618105,low,human-only
65,1.0,1,8.907841280163803,high,human-only
66,0.0,1,7.119893547905358,low,robot-only
67,0.0,0,11.87891503787953,high,human-only
68,0.0,1,10.009078874672488,low,collaborative
69,0.0,0,9.875274380753703,low,collaborative
70,1.0,1,8.304090657634683,medium,collaborative
71,0.0,1,13.809756592247881,low,collaborative
72,0.5,1,11.328338097051732,high,robot-only
73,0.5,0,8.794862598809527,low,robot-only
74,0.0,2,8.517833814503529,medium,human-only
75,1.0,1,10.246688720109827,low,collaborative
76,0.5,2,7.735645883553113,high,collaborative
77,0.0,1,10.794930335502265,high,collaborative
78,0.0,0,6.304417642902824,high,human-only
79,0.5,1,11.696616786794227,medium,robot-only
80,0.0,1,14.049236513836021,low,collaborative
81,0.0,0,9.775979991518616,medium,collaborative
